,#,Player,Time,Date,Platform,Verified
0,1,Suigi,5728,2024-11-03,Nintendo 64,True
1,2,ikori_o,5730,2025-03-18,Nintendo 64,True
2,3,Weegee,5762,2024-07-06,Nintendo 64,True
3,3,Karin,5762,2025-02-15,Nintendo 64,True
4,5,Kally,5793,2025-05-01,Nintendo 64,True
5,6,Parsee02,5804,2024-05-15,Nintendo 64,True
6,6,cheese,5804,2024-06-12,Nintendo 64,True
7,8,Smau,5818,2025-04-30,Nintendo 64,True
8,9,marlene,5823,2023-10-22,Nintendo 64,True
9,10,simply,5826,2024-09-26,Nintendo 64,True
10,11,BeastAssassin67,5827,2025-02-22,Nintendo 64,True
11,12,Liam,5837,2023-11-23,Nintendo 64,True
12,13,puncayshun,5846,2024-09-15,Nintendo 64,True
13,14,batora,5860,2023-11-04,Nintendo 64,True
14,15,Dezanig,5875,2024-03-21,Nintendo 64,True
15,15,beeve,5875,2025-04-23,Nintendo 64,True
16,17,Mauir,5901,2024-07-16,Nintendo 64,True
17,18,Dowsky,5909,2024-02-10,Nintendo 64,True
18,19,KANNO,5925,2024-03-20,Nintendo 64,True
19,20,Raisn,5933,2023-11-09,Nintendo 64,True
20,20,GothicLogic,5933,2024-07-14,Nintendo 64,True
21,22,hokorobi,5934,2021-01-31,Nintendo 64,True
22,22,Taggo,5934,2021-06-26,Nintendo 64,True
23,24,Dekudude,5938,2024-09-09,Nintendo 64,True
24,25,Paracusia,5940,2021-09-24,Nintendo 64,True
25,26,jaquarium,5941,2025-04-04,Nintendo 64,True
26,27,taciturn,5942,2024-08-06,Nintendo 64,True
27,28,Dwhatever,5947,2023-10-19,Nintendo 64,True
28,29,BlueBob,5949,2024-05-20,Nintendo 64,True
29,30,RianDiCielo,5959,2024-07-14,Wii Virtual Console,True
30,31,Sabxander,5961,2025-01-28,Nintendo 64,True
31,32,Avatar,5967,2024-10-26,Nintendo 64,True
32,33,Nebula,5968,2021-03-10,Nintendo 64,True
33,34,HorrorDoesSpeedRuns,5971,2024-12-18,Nintendo 64,True
34,35,Odme_,5984,2025-02-11,Wii Virtual Console,True
35,36,crazywhw,5986,2025-05-05,Nintendo 64,True
36,37,Sigotu,5991,2022-02-12,Nintendo 64,True
37,37,Taki,5991,2023-06-22,Nintendo 64,True
38,39,sorichi,5993,2024-10-14,Nintendo 64,True
39,40,FailmanFlo,5994,2024-03-10,Nintendo 64,True
40,41,Terji,5997,2022-10-23,Nintendo 64,True
41,42,nindiddeh,6003,2021-11-13,Nintendo 64,True
42,43,Gainai,6012,2021-05-16,Nintendo 64,True
43,44,Drac,6020,2024-04-15,Nintendo 64,True
44,45,RockChalk19,6021,2021-04-04,Nintendo 64,True
45,46,kagami,6025,2021-11-20,Nintendo 64,True
46,47,piegolds,6039,2024-07-22,Nintendo 64,True
47,48,Aleph64,6040,2022-10-30,Wii Virtual Console,True
48,49,Fafel,6043,2020-11-11,Nintendo 64,True
49,50,Soda,6046,2024-02-03,Wii Virtual Console,True
50,51,Zhilkan,6049,2023-08-03,Nintendo 64,True
